"Periode_id","Annee_scolaire","Formation","Niveau","Type","Date_debut","Date_fin","Offre_temporaire_proposee","Offres_candidates","Libelle_periode_propose","Code_periode_propose","Classification","Ambiguite"
"38","2026-2027","1 BAC PRO","MT","PFMP 1ère","2027-03-22","2027-04-16","2026-2027__CLASSE_8","2026-2027__CLASSE_8","PFMP 1ère — MT — 2027-03-22 au 2027-04-16","2026_2027_1_BAC_PRO_MT_02","Correspondance certaine",""
"39","2026-2027","1 BAC PRO","RMO","PFMP 1ère","2027-03-22","2027-04-16","2026-2027__CLASSE_11","2026-2027__CLASSE_11","PFMP 1ère — RMO — 2027-03-22 au 2027-04-16","2026_2027_1_BAC_PRO_RMO_02","Correspondance certaine",""
"40","2026-2027","1 BAC PRO","RSP","PFMP 1ère","2027-03-22","2027-04-16","2026-2027__CLASSE_12","2026-2027__CLASSE_12","PFMP 1ère — RSP — 2027-03-22 au 2027-04-16","2026_2027_1_BAC_PRO_RSP_02","Correspondance certaine",""
"61","2026-2027","T BAC PRO","CIEL","PFMP Tbac","2026-09-28","2026-10-16","2026-2027__CLASSE_25","2026-2027__CLASSE_25","PFMP Tbac — CIEL — 2026-09-28 au 2026-10-16","2026_2027_T_BAC_PRO_CIEL_02","Correspondance certaine",""
"62","2026-2027","T BAC PRO","CPA","PFMP Tbac","2026-09-28","2026-10-16","2026-2027__CLASSE_24","2026-2027__CLASSE_24","PFMP Tbac — CPA — 2026-09-28 au 2026-10-16","2026_2027_T_BAC_PRO_CPA_02","Correspondance probable à valider","Écart entre le code de classe et le niveau de période."
"63","2026-2027","T BAC PRO","MVA","PFMP Tbac","2026-09-28","2026-10-16","","2026-2027__CLASSE_30|2026-2027__CLASSE_31","PFMP Tbac — MVA — 2026-09-28 au 2026-10-16","2026_2027_T_BAC_PRO_MVA_02","Correspondance impossible à déterminer","La période correspond à 2 classes actives ; une référence Offre_formation unique est insuffisante."
"64","2026-2027","T BAC PRO","MELEC","PFMP Tbac","2026-09-28","2026-10-16","","2026-2027__CLASSE_26|2026-2027__CLASSE_27|2026-2027__CLASSE_38","PFMP Tbac — MELEC — 2026-09-28 au 2026-10-16","2026_2027_T_BAC_PRO_MELEC_02","Correspondance impossible à déterminer","La période correspond à 3 classes actives ; une référence Offre_formation unique est insuffisante."
"65","2026-2027","T BAC PRO","MP3D","PFMP Tbac","2026-09-28","2026-10-16","2026-2027__CLASSE_28","2026-2027__CLASSE_28","PFMP Tbac — MP3D — 2026-09-28 au 2026-10-16","2026_2027_T_BAC_PRO_MP3D_02","Correspondance certaine",""
"66","2026-2027","T BAC PRO","MT","PFMP Tbac","2026-09-28","2026-10-16","2026-2027__CLASSE_29","2026-2027__CLASSE_29","PFMP Tbac — MT — 2026-09-28 au 2026-10-16","2026_2027_T_BAC_PRO_MT_02","Correspondance certaine",""
"67","2026-2027","T BAC PRO","RMO","PFMP Tbac","2026-09-28","2026-10-16","2026-2027__CLASSE_32","2026-2027__CLASSE_32","PFMP Tbac — RMO — 2026-09-28 au 2026-10-16","2026_2027_T_BAC_PRO_RMO_02","Correspondance certaine",""
